ds,yhat,yhat_lower,yhat_upper
1980-01-01,4.446079882531658,1.6794854007603992,6.86204159251641
1981-01-01,0.8835510209304822,-1.7851066918999858,3.484313721925439
1982-01-01,0.3548863455777041,-2.428777335969953,2.9798255890783865
1983-01-01,-0.1769520786493791,-2.916290277920335,2.5309640920382748
1984-01-01,0.0234038024675755,-2.8876299511581465,2.6725608156176284
1985-01-01,1.7084510450235837,-0.9456202019970334,4.461827128914663
1986-01-01,3.444521752015854,0.7099565452297094,6.01024263252294
1987-01-01,5.187686317458945,2.4982360068418723,7.806733811221429
1988-01-01,1.9606458181399702,-0.7928372076165224,4.6888932307141395
1989-01-01,-1.2580532063686538,-3.910894444366861,1.4967056553314622
1990-01-01,4.790689844973477,2.040590302402006,7.468773096380764
1991-01-01,10.869355013139876,8.16160292108255,13.4085778287737
1992-01-01,13.94852412061709,11.168247375572726,16.547749116868506
1993-01-01,15.61875037528077,12.778836400953237,18.167246529921034
1994-01-01,17.43816475641616,14.784692279690521,19.934534601046032
1995-01-01,19.255029586327773,16.83413675177274,21.93650258931512
1996-01-01,20.94900993163671,18.25979910815746,23.568868593058383
1997-01-01,22.097154886654817,19.5015089425784,24.624028909919954
1998-01-01,23.46462227217287,20.946670346581154,26.257910225018275
1999-01-01,24.848444521196434,22.09269553371123,27.635914142439702
2000-01-01,26.22013659407778,23.588171825839044,29.011593863341957
2001-01-01,32.94891248612739,30.30525661383758,35.48721662265335
2002-01-01,40.002280274163304,37.18656415331103,42.37229344134173
2003-01-01,32.38597439827289,29.68672505449745,35.04696279077338
2004-01-01,24.715341961745093,22.09995305548956,27.356053322755137
2005-01-01,20.805285061879466,18.27325910538605,23.51060782962488
2006-01-01,17.207309591650084,14.617458826886047,19.99327348641253
2007-01-01,15.708806940344049,12.951863086088245,18.520242460041032
2008-01-01,14.192931502548591,11.46311468376049,16.93636098964409
2009-01-01,12.555754443239701,9.819698150471014,15.411100495767691
2010-01-01,11.05875137325057,8.472553928794369,13.666506789762396
2011-01-01,9.54550258535424,6.887430714077276,12.242983989569657
2012-01-01,8.019232890456644,5.419276728799782,10.652795053931573
2013-01-01,6.447480989138614,3.7913189408682046,9.191719192615233
2014-01-01,7.164660658289796,4.695222153261405,10.104150116194889
2015-01-01,7.880625343651625,5.294634860696456,10.687578399391484
2016-01-01,8.593875954591924,6.115512665092847,11.309691850602832
2017-01-01,9.22917000982241,6.651875331444424,11.943798921583493
2018-01-01,9.955008698546962,7.25095222277781,12.681899137585487
2019-01-01,10.67766556935801,8.103998836202692,13.193591113006578
2020-01-01,11.395633389420896,8.705276953451135,14.064979415102732
2021-01-01,12.010859030506408,9.449592897889271,14.645438766461595
2022-01-01,12.745356738804563,10.056040151627554,15.442405557366637
2022-12-31,13.506382066934288,10.567923595177454,16.59683913656598
2023-12-31,14.190611746141368,9.713345693086852,18.958875316288584
2024-12-31,14.911901095860731,7.377468484250799,22.57965245493823
2025-12-31,15.616733572710764,2.908770991220134,27.726459982468867
2026-12-31,16.31039595185507,-1.4117146778752767,33.48983485790877
2027-12-31,16.99140969152746,-7.4061309407496765,40.576301590739384
2028-12-31,17.71639502504874,-12.895540611150894,46.7221405756319
2029-12-31,18.421979955107574,-18.503987628533366,53.06424552894416
2030-12-31,19.114409836775895,-24.87824270245618,62.05641993909716
2031-12-31,19.79220763691303,-32.557726420094305,71.71976665423473
